Classes,Tracks,Set Type
10.0,0,Test Set
10.0,1,Test Set
10.0,2,Test Set
10.0,3,Test Set
7.0,4,Test Set
10.0,5,Test Set
10.0,6,Test Set
2.0,7,Test Set
10.0,8,Test Set
6.0,9,Test Set
10.0,10,Test Set
7.0,11,Test Set
9.0,12,Test Set
6.0,13,Test Set
10.0,14,Test Set
10.0,15,Test Set
6.0,16,Test Set
8.0,17,Test Set
10.0,18,Test Set
1.0,19,Test Set
6.0,20,Test Set
6.0,21,Test Set
9.0,22,Test Set
10.0,23,Test Set
8.0,24,Test Set
1.0,25,Test Set
2.0,26,Test Set
9.0,27,Test Set
7.0,28,Test Set
1.0,29,Test Set
9.0,30,Test Set
10.0,31,Test Set
8.0,32,Test Set
1.0,33,Test Set
8.0,34,Test Set
6.0,35,Test Set
9.0,36,Test Set
10.0,37,Test Set
10.0,38,Test Set
1.0,39,Test Set
6.0,40,Test Set
8.0,41,Test Set
2.0,42,Test Set
1.0,43,Test Set
10.0,44,Test Set
5.0,45,Test Set
10.0,46,Test Set
2.0,47,Test Set
1.0,48,Test Set
2.0,49,Test Set
6.0,50,Test Set
10.0,51,Test Set
10.0,52,Test Set
5.0,53,Test Set
6.0,54,Test Set
2.0,55,Test Set
10.0,56,Test Set
9.0,57,Test Set
10.0,58,Test Set
10.0,59,Test Set
7.0,60,Test Set
10.0,61,Test Set
10.0,62,Test Set
7.0,63,Test Set
2.0,64,Test Set
1.0,65,Test Set
1.0,66,Test Set
8.0,67,Test Set
5.0,68,Test Set
6.0,69,Test Set
0.0,70,Test Set
1.0,71,Test Set
1.0,72,Test Set
2.0,73,Test Set
6.0,74,Test Set
10.0,75,Test Set
8.0,76,Test Set
9.0,77,Test Set
10.0,78,Test Set
5.0,79,Test Set
6.0,80,Test Set
6.0,81,Test Set
9.0,82,Test Set
10.0,83,Test Set
1.0,84,Test Set
10.0,85,Test Set
2.0,86,Test Set
6.0,87,Test Set
8.0,88,Test Set
1.0,89,Test Set
6.0,90,Test Set
6.0,91,Test Set
10.0,92,Test Set
6.0,93,Test Set
10.0,94,Test Set
5.0,95,Test Set
10.0,96,Test Set
6.0,97,Test Set
10.0,98,Test Set
9.0,99,Test Set
9.0,100,Test Set
1.0,101,Test Set
8.0,102,Test Set
8.0,103,Test Set
8.0,104,Test Set
6.0,105,Test Set
8.0,106,Test Set
10.0,107,Test Set
10.0,108,Test Set
6.0,109,Test Set
8.0,110,Test Set
6.0,111,Test Set
6.0,112,Test Set
5.0,113,Test Set
8.0,114,Test Set
1.0,115,Test Set
