spotify_id,artist_name,track_name,class
4bk6zQvr1tEokVjLJ7xZfz,Squid,Paddling,6.0
2A110W6j3xAbTDsOXu4uN0,Kokomo Arnold,Mean Old Twister - Remastered,2.0
7vFaliU9GLPLNwyu2Kg0YT,Brynn Elliott,Letter To A Girl,9.0
5jHL8tcDLiiXXKcGr4nkWk,LASTELLE,A Letter Unread,8.0
1oht5GevPN9t1T3kG1m1GO,James Taylor,Fire and Rain,0.0
27nlXliCG4tYCox6Ov9p40,Forndom,Yggdrasil,8.0
5vvkKkLRXcCvcRK40ld4df,Asha Bhosle,Aaiye Meharban,3.0
1iQDltZqI7BXnHrFy4Qo1k,SHAED,Trampoline,10.0
6rUGbjo3y0MbeQNaPfytXe,Bob Berg,All The Way,7.0
,Statik Selektah,"Play Around (feat. Conway the Machine, 2 Chainz, Killer Mike, & Allan Kingdom)",5.0
,Nathan Goshen,היום יהיה שמח,9.0
4piJ8pnoRvC5sqMEpbH0FA,Anderson East,All On My Mind - Acoustic,2.0
7AQH1fAOO8rBCH00PQCNat,The Heavy,Turn Up,10.0
5vYn0idAvSminM8fdyTB1U,Charmaine,WOO!,5.0
2PFqkHzF7R1cBttOp0jUXg,Synapson,Toujours (feat. Tim Dup & Lass),6.0
1O73n53LZxJNLeGdhwChtt,Elkka,Burnt Orange - Edit,6.0
4PtZE0h5oyPhCtPjg3NeYQ,Alice In Chains,No Excuses,10.0
4TJVYq699BO7PagAjXxYhJ,my bloody valentine,soon,1.0
6binrNkX9MO9nyFNt2pH1n,The Great Divide,"Anyone, Evermore",10.0
76VG6yEGc6asJWoyYoMakJ,Semblant,Mere Shadow,8.0
6Dma0t0hOe6Bd6u5YRKF3n,Sia,"No New Friends (feat. Sia, Diplo, and Labrinth)",9.0
0fotWs4R5dPWw7YnJEtRw0,Uffie,Pop The Glock,1.0
6hHc7Pks7wtBIW8Z6A0iFq,New Order,Blue Monday,6.0
0uHbPoDjquncfYsLt00Aj2,Lenny Kravitz,Heaven Help,10.0
1oMPPjk92PNVK2FnJdqHGj,El Cruce,Mapuche,2.0
,Yehudit Ravitz,לא טוב היות האדם לבדו,10.0
1gvaxqNiJEbQzWPqs72kgG,Alvvays,In Undertow,10.0
5r5cp9IpziiIsR6b93vcnQ,Empire of the Sun,Walking On A Dream,9.0
5Hroj5K7vLpIG4FNCRIjbP,American Authors,Best Day Of My Life,10.0
62kPP0WriNYSFtM58bp53M,Oliver Hoss,Only With You,6.0
5da84NXPLY2PetiqAmuh1y,Crowbar,Existense Is Punishment,8.0
1Old32lwfyiEL26rROVahx,Lata Mangeshkar,Rajnigandha Phool Tumhare,3.0
3mUAcYWoIerwT5v9GppuKo,Caroline Kingsbury,Kissing Someone Else,10.0
4y8OZW2dyWRobsi2w0C64W,Sam Smith,Diamonds - Acoustic,9.0
1p4uMVyCxMjbnLcYihnsyf,Wale,Good Vibes (Za),5.0
5z6xHjCZr7a7AIcy8sPBKy,Alien Ant Farm,Smooth Criminal,8.0
,Dallas,Shark,10.0
1WJhQBhJGuDxp5LR2os4Za,Iggy Azalea,Sip It,5.0
,LaSalle Street Trio,I've Told Every Little Star,7.0
